file,mask,label,rms_contrast
C:\Users\fabia\Desktop\EWS\data\img\img_bin\IMG003_10000.jpg,10000,meme,0.1730196475982666
C:\Users\fabia\Desktop\EWS\data\img\img_bin\IMG006_10000.jpg,10000,meme,0.2025977224111557
C:\Users\fabia\Desktop\EWS\data\img\img_bin\IMG007_10000.jpg,10000,meme,0.16287508606910706
C:\Users\fabia\Desktop\EWS\data\img\img_bin\IMG010_10000.jpg,10000,meme,0.20748239755630493
C:\Users\fabia\Desktop\EWS\data\img\img_bin\IMG011_01001.jpg,01001,ort_text,0.3323492407798767
C:\Users\fabia\Desktop\EWS\data\img\img_bin\IMG012_01001.jpg,01001,ort_text,0.2241435945034027
C:\Users\fabia\Desktop\EWS\data\img\img_bin\IMG013_01001.jpg,01001,ort_text,0.30037781596183777
C:\Users\fabia\Desktop\EWS\data\img\img_bin\IMG014_01000.jpg,01000,ort,0.23079241812229156
C:\Users\fabia\Desktop\EWS\data\img\img_bin\IMG015_01001.jpg,01001,ort_text,0.2950083613395691
C:\Users\fabia\Desktop\EWS\data\img\img_bin\IMG016_01001.jpg,01001,ort_text,0.1805267184972763
C:\Users\fabia\Desktop\EWS\data\img\img_bin\IMG017_01001.jpg,01001,ort_text,0.1643425077199936
C:\Users\fabia\Desktop\EWS\data\img\img_bin\IMG018_01000.jpg,01000,ort,0.31282883882522583
C:\Users\fabia\Desktop\EWS\data\img\img_bin\IMG019_01000.jpg,01000,ort,0.2593575417995453
C:\Users\fabia\Desktop\EWS\data\img\img_bin\IMG020_01000.jpg,01000,ort,0.25195178389549255
C:\Users\fabia\Desktop\EWS\data\img\img_bin\IMG021_01000.jpg,01000,ort,0.13483451306819916
C:\Users\fabia\Desktop\EWS\data\img\img_bin\IMG022_01000.jpg,01000,ort,0.1943509876728058
C:\Users\fabia\Desktop\EWS\data\img\img_bin\IMG023_01000.jpg,01000,ort,0.17632229626178741
C:\Users\fabia\Desktop\EWS\data\img\img_bin\IMG024_01000.jpg,01000,ort,0.22141720354557037
C:\Users\fabia\Desktop\EWS\data\img\img_bin\IMG025_01000.jpg,01000,ort,0.18230047821998596
C:\Users\fabia\Desktop\EWS\data\img\img_bin\IMG026_01000.jpg,01000,ort,0.2955903708934784
C:\Users\fabia\Desktop\EWS\data\img\img_bin\IMG027_01000.jpg,01000,ort,0.23515881597995758
C:\Users\fabia\Desktop\EWS\data\img\img_bin\IMG028_01000.jpg,01000,ort,0.23100019991397858
C:\Users\fabia\Desktop\EWS\data\img\img_bin\IMG029_01000.jpg,01000,ort,0.12164473533630371
C:\Users\fabia\Desktop\EWS\data\img\img_bin\IMG030_01000.jpg,01000,ort,0.20891284942626953
C:\Users\fabia\Desktop\EWS\data\img\img_bin\IMG031_01000.jpg,01000,ort,0.22193476557731628
C:\Users\fabia\Desktop\EWS\data\img\img_bin\IMG032_01000.jpg,01000,ort,0.21439585089683533
C:\Users\fabia\Desktop\EWS\data\img\img_bin\IMG033_00101.jpg,00101,person_text,0.21672099828720093
C:\Users\fabia\Desktop\EWS\data\img\img_bin\IMG034_00100.jpg,00100,person,0.21514610946178436
C:\Users\fabia\Desktop\EWS\data\img\img_bin\IMG035_00100.jpg,00100,person,0.19628079235553741
C:\Users\fabia\Desktop\EWS\data\img\img_bin\IMG036_00100.jpg,00100,person,0.23449626564979553
C:\Users\fabia\Desktop\EWS\data\img\img_bin\IMG037_00100.jpg,00100,person,0.26521044969558716
C:\Users\fabia\Desktop\EWS\data\img\img_bin\IMG038_00100.jpg,00100,person,0.32368993759155273
C:\Users\fabia\Desktop\EWS\data\img\img_bin\IMG039_00100.jpg,00100,person,0.3330175280570984
C:\Users\fabia\Desktop\EWS\data\img\img_bin\IMG040_00100.jpg,00100,person,0.2471616417169571
C:\Users\fabia\Desktop\EWS\data\img\img_bin\IMG041_00100.jpg,00100,person,0.2841866612434387
C:\Users\fabia\Desktop\EWS\data\img\img_bin\IMG042_00100.jpg,00100,person,0.14725476503372192
C:\Users\fabia\Desktop\EWS\data\img\img_bin\IMG043_00100.jpg,00100,person,0.16968181729316711
C:\Users\fabia\Desktop\EWS\data\img\img_bin\IMG044_00100.jpg,00100,person,0.23692861199378967
C:\Users\fabia\Desktop\EWS\data\img\img_bin\IMG045_00100.jpg,00100,person,0.23814888298511505
C:\Users\fabia\Desktop\EWS\data\img\img_bin\IMG046_00100.jpg,00100,person,0.27468809485435486
C:\Users\fabia\Desktop\EWS\data\img\img_bin\IMG047_00100.jpg,00100,person,0.21849031746387482
C:\Users\fabia\Desktop\EWS\data\img\img_bin\IMG048_00100.jpg,00100,person,0.2962680757045746
C:\Users\fabia\Desktop\EWS\data\img\img_bin\IMG049_00100.jpg,00100,person,0.3750697374343872
C:\Users\fabia\Desktop\EWS\data\img\img_bin\IMG050_00100.jpg,00100,person,0.3725968599319458
C:\Users\fabia\Desktop\EWS\data\img\img_bin\IMG051_00100.jpg,00100,person,0.38944166898727417
C:\Users\fabia\Desktop\EWS\data\img\img_bin\IMG052_00100.jpg,00100,person,0.316058486700058
C:\Users\fabia\Desktop\EWS\data\img\img_bin\IMG053_00100.jpg,00100,person,0.29558390378952026
C:\Users\fabia\Desktop\EWS\data\img\img_bin\IMG054_00100.jpg,00100,person,0.1778062880039215
C:\Users\fabia\Desktop\EWS\data\img\img_bin\IMG055_00100.jpg,00100,person,0.3582651615142822
C:\Users\fabia\Desktop\EWS\data\img\img_bin\IMG056_00100.jpg,00100,person,0.2680457830429077
C:\Users\fabia\Desktop\EWS\data\img\img_bin\IMG057_00100.jpg,00100,person,0.3047313392162323
C:\Users\fabia\Desktop\EWS\data\img\img_bin\IMG058_00100.jpg,00100,person,0.1782490462064743
C:\Users\fabia\Desktop\EWS\data\img\img_bin\IMG059_00100.jpg,00100,person,0.30149754881858826
